Player,Squad,Comp,Pos,Min,Gls,Ast,Sh,SoT,goals_per_90,assists_per_90,shots_per_90,sot_per_90,shot_accuracy,goal_efficiency,contribution,score
Oliver Burke,Union Berlin,de Bundesliga,"FW,MF",1402,5,1,29,13,0.3209700427960057,0.06419400855920114,1.861626248216833,0.834522111269615,0.4482758620689655,0.1724137931034483,6,0.06743568301441291
Rémy Cabella,Nantes,fr Ligue 1,"MF,FW",504,1,0,6,3,0.17857142857142855,0.0,1.0714285714285714,0.5357142857142857,0.5,0.16666666666666666,1,0.05158730158730159
Mathieu Cafaro,Paris FC,fr Ligue 1,FW,152,0,0,7,1,0.0,0.0,4.144736842105263,0.5921052631578947,0.14285714285714285,0.0,0,0.03684210526315789
Dominic Calvert-Lewin,Leeds United,eng Premier League,FW,2384,11,1,66,30,0.415268456375839,0.037751677852348994,2.4916107382550337,1.1325503355704698,0.45454545454545453,0.16666666666666666,12,0.07620246085011187
Amady Camara,Nantes,fr Ligue 1,FW,171,0,0,6,0,0.0,0.0,3.1578947368421053,0.0,0.0,0.0,0,0.028070175438596492
Dawda Camara,Girona,es La Liga,FW,72,0,0,2,1,0.0,0.0,2.5,1.25,0.5,0.0,0,0.022222222222222223
Francesco Camarda,Lecce,it Serie A,FW,640,1,0,14,3,0.140625,0.0,1.9687499999999998,0.421875,0.21428571428571427,0.07142857142857142,1,0.038660714285714284
Nicolò Cambiaghi,Bologna,it Serie A,"MF,FW",1518,3,4,24,6,0.17786561264822134,0.23715415019762848,1.4229249011857708,0.3557312252964427,0.25,0.125,7,0.04897891963109355
Axel Camblan,Brest,fr Ligue 1,FW,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Sergio Camello,Rayo Vallecano,es La Liga,FW,562,2,0,15,7,0.32028469750889677,0.0,2.402135231316726,1.1209964412811388,0.4666666666666667,0.13333333333333333,2,0.0636773428232503
Cole Campbell,Hoffenheim,de Bundesliga,FW,33,0,0,1,0,0.0,0.0,2.7272727272727275,0.0,0.0,0.0,0,0.024242424242424246
Cole Campbell,Dortmund,de Bundesliga,FW,17,0,0,1,0,0.0,0.0,5.294117647058823,0.0,0.0,0.0,0,0.047058823529411764
Matteo Cancellieri,Lazio,it Serie A,"FW,MF",1530,4,2,37,14,0.23529411764705882,0.11764705882352941,2.1764705882352944,0.823529411764706,0.3783783783783784,0.10810810810810811,6,0.05377848436671967
Kevin Carlos,Nice,fr Ligue 1,FW,851,0,0,21,7,0.0,0.0,2.2209165687426555,0.7403055229142186,0.3333333333333333,0.0,0,0.01974148061104583
Gorka Carrera,Real Sociedad,es La Liga,FW,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Josué Casimir,Auxerre,fr Ligue 1,"MF,FW",1486,1,0,21,11,0.06056527590847914,0.0,1.2718707940780618,0.6662180349932705,0.5238095238095238,0.047619047619047616,1,0.023790296737806832
Valentín Castellanos,Lazio,it Serie A,FW,692,2,3,20,8,0.26011560693641617,0.3901734104046242,2.601156069364162,1.0404624277456647,0.4,0.1,5,0.06017341040462428
Valentín Castellanos,West Ham United,eng Premier League,FW,1102,4,0,31,14,0.32667876588021777,0.0,2.531760435571688,1.1433756805807622,0.45161290322580644,0.12903225806451613,4,0.06428195070546222
Santiago Castro,Bologna,it Serie A,FW,2083,7,2,56,18,0.30244839174267885,0.08641382621219394,2.4195871339414308,0.7777244359097455,0.32142857142857145,0.125,9,0.0622539606337014
Abdoulie Ceesay,St Pauli,de Bundesliga,FW,246,0,0,5,1,0.0,0.0,1.8292682926829267,0.3658536585365854,0.2,0.0,0,0.016260162601626018
Václav Černý,Wolfsburg,de Bundesliga,"FW,MF",47,0,0,1,0,0.0,0.0,1.9148936170212765,0.0,0.0,0.0,0,0.01702127659574468
Walid Cheddira,Sassuolo,it Serie A,FW,221,1,0,8,2,0.40723981900452494,0.0,3.2579185520361995,0.8144796380090499,0.25,0.125,1,0.073868778280543
Walid Cheddira,Lecce,it Serie A,FW,698,0,0,16,4,0.0,0.0,2.0630372492836675,0.5157593123209169,0.25,0.0,0,0.01833810888252149
Sidiki Cherif,Angers,fr Ligue 1,"FW,MF",1157,4,0,28,12,0.3111495246326707,0.0,2.178046672428695,0.9334485738980121,0.42857142857142855,0.14285714285714285,4,0.06314359797505865
Carney Chukwuemeka,Dortmund,de Bundesliga,"MF,FW",890,2,0,18,2,0.20224719101123598,0.0,1.8202247191011234,0.20224719101123598,0.1111111111111111,0.1111111111111111,2,0.048289637952559306
Samuel Chukwueze,Milan,it Serie A,"FW,MF",26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Mamoudou Cissokho,Auxerre,fr Ligue 1,FW,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Alexis Claude-Maurice,Augsburg,de Bundesliga,"MF,FW",1995,5,4,69,25,0.22556390977443608,0.18045112781954886,3.112781954887218,1.1278195488721803,0.36231884057971014,0.07246376811594203,9,0.05519450800915332
Lorenzo Colombo,Genoa,it Serie A,FW,2040,7,1,61,26,0.3088235294117647,0.044117647058823525,2.6911764705882355,1.1470588235294117,0.4262295081967213,0.11475409836065574,8,0.062460623593699784
Francisco Conceição,Juventus,it Serie A,"MF,FW",1780,3,4,62,19,0.15168539325842698,0.20224719101123598,3.134831460674157,0.9606741573033708,0.3064516129032258,0.04838709677419355,7,0.04720550924247916
Christian Conteh,Heidenheim,de Bundesliga,"MF,FW",344,0,0,3,0,0.0,0.0,0.7848837209302325,0.0,0.0,0.0,0,0.0069767441860465115
Sirlord Conteh,Heidenheim,de Bundesliga,"MF,FW",625,2,1,10,3,0.28800000000000003,0.14400000000000002,1.44,0.43199999999999994,0.3,0.2,3,0.06848000000000001
